headline,url,category
The men who broke out of Alcatraz with a spoon,https://www.bbc.com/culture/article/20240607-it-was-the-cleverest-escape-in-the-prisons-30-years-the-men-who-broke-out-of-alcatraz-with-a-spoon,culture
The Cold War spy mystery of the vanishing frogman,https://www.bbc.com/culture/article/20250501-the-cold-war-spy-mystery-of-buster-crabb,culture
"Met Gala tickets cost $75,000. Here's what to know about fashion's biggest night",https://www.bbc.com/news/articles/c3r807j7xrwo,culture
"Molly-Mae is back, and I Kissed a Boy returns: What's coming up this week",https://www.bbc.com/news/articles/clyqxzlzw9jo,culture
Marvel's Thunderbolts* proves a hit at box office,https://www.bbc.com/news/articles/cz79x7exn3wo,culture
'Little Monsters' enjoy free Lady Gaga concert in Brazil,https://www.bbc.com/news/videos/c1me42j0xn3o,culture
"His stats are better, but will Yamal build legacy to rival Messi?",https://www.bbc.com/sport/football/articles/cr4nv6e1312o,sport
In Pictures: Sporting photos of the week,https://www.bbc.com/sport/articles/czd39932q39o,sport
Doris needs shoulder operation & is doubt for Lions,https://www.bbc.com/sport/rugby-union/articles/cyvqd858rd7o,sport
Tuchel faces dilemma over releasing players for Club World Cup,https://www.bbc.com/sport/football/articles/ckg2kqvqpe1o,sport
The runner who went viral and sparked a campaign for change for women,https://www.bbc.com/sport/athletics/articles/crm3py4jdnno,sport
"Rugby Union Weekly. A Champions Cup classic and Lions watch. Audio, 60 minutes",https://www.bbc.com/sounds/play/p0l8fft3,sport
